,0.1% DMSO ,1 uM Verapamil 
4.925,392.01599642538,359.564501288186
4.9375,392.166905700968,359.217427385892
4.95,392.245184986115,358.786915542414
4.9625,392.164026845638,358.578162622708
4.975,391.290969300993,357.349537892791
4.9875,391.394102357265,357.114423254953
5,394.371456763545,356.636002218935
5.0125,412.321791897198,356.146142433234
5.025,436.284154460719,355.92417500927
5.0375,453.651453385324,355.194187338023
5.05,466.950048283733,354.812447902195
5.0625,487.86797556719,354.916364650125
5.075,510.33394176445,354.438812320784
5.0875,522.132360604482,353.845876145515
5.1,527.584639362715,354.034093014638
5.1125,531.160677263303,354.132850913814
5.125,535.125670763372,354.376101679191
5.1375,537.476787412466,354.01832899144
5.15,539.59797385055,353.474109131403
5.1625,541.399307659022,355.236130471146
5.175,541.808004140072,364.471029248427
5.1875,540.949542867,375.168355129858
5.2,540.923196410079,384.766648270787
5.2125,540.211058315335,394.379855589069
5.225,538.278344279295,403.193172507965
5.2375,535.948680225011,410.847938847939
5.25,534.711228556576,413.089154661593
5.2625,531.469662921348,413.495068319609
5.275,527.463207955037,413.768060836502
5.2875,525.014990035526,412.070069438182
5.3,521.142881944444,410.5013518385
5.3125,516.776774865475,409.038024869346
5.325,512.540223900026,408.013198336648
5.3375,507.025052011096,405.694273287423
5.35,503.127997914494,404.062392465815
5.3625,497.841514360313,401.471679334057
5.375,492.172804039349,399.2182377977
5.3875,486.764382845188,396.373801338882
5.4,481.462466136503,394.134408115207
5.4125,475.5284738041,391.735267452403
5.425,469.168851599371,388.445521239018
5.4375,462.829340793845,386.018785733733
5.45,457.408408671992,384.049540114744
5.4625,450.731649565904,381.302701222851
5.475,445.18714838256,378.706397736607
5.4875,440.25647805394,376.38810483871
5.5,434.898720776356,373.818131868132
5.5125,430.676452437627,371.983215628726
5.525,427.726660761736,369.725954478708
5.5375,423.220878926933,368.75792957617
5.55,420.022436180549,366.307082987934
5.5625,418.015691489362,364.624712485049
5.575,415.258480565371,363.692774965486
5.5875,412.897503983006,362.321079786254
5.6,411.163786227067,361.130707499308
5.6125,409.156180672642,360.709647581167
5.625,407.958751889057,360.078476790512
5.6375,406.419288888889,358.850633145392
5.65,405.48330216404,358.676995652576
5.6625,404.435060894302,357.608743876514
5.675,403.55772140632,357.457037037037
5.6875,402.112031347404,356.858410351201
5.7,401.264587973274,356.048333333333
5.7125,400.687260749577,355.976477125394
5.725,399.574153297683,355.431269091919
5.7375,398.983672376874,355.37203043801
5.75,398.151671868034,355.067532467532
5.7625,397.614321383984,354.590068429813
5.775,397.066838962659,355.147440652819
5.7875,396.558482142857,354.89349827923
5.8,396.25288590604,354.355823665893
5.8125,396.222779369628,354.067787166868
5.825,395.138854185258,353.760003722315
5.8375,395.387165966574,353.729742258483
5.85,395.223574688982,353.922912603325
5.8625,394.509224431309,358.800388134184
5.875,393.970648769575,370.58050534858
5.8875,393.416837965859,379.193815571507
5.9,393.494393110254,389.70894085282
5.9125,393.409376120473,399.865692096848
5.925,393.155651083647,408.50109229929
5.9375,392.937572772056,412.865647335565
5.95,392.326079168906,413.543143994211
5.9625,392.536794986571,413.457176449308
5.975,391.812326683961,412.216511606901
5.9875,391.549530201342,411.08576329331
6,391.491228070175,409.695770065076
6.0125,391.357277037302,408.848962580411
6.025,391.849628102877,406.767492316037
6.0375,391.146840647064,405.31259057971
6.05,391.437118765698,402.979512283564
6.0625,390.788339443799,399.844502807462
6.075,390.853571108522,397.855224963716
6.0875,390.626540453652,395.001633097441
6.1,390.824910394265,392.204178019982
6.1125,392.618544705988,389.771980763996
6.125,411.681521252796,387.307098064164
6.1375,434.163916977115,384.343275438756
6.15,452.046781039972,382.419611065462
6.1625,466.122405909251,379.798157606713
6.175,486.800297021054,376.466879271071
6.1875,508.182491289199,374.850288435125
6.2,520.656741036548,372.384299406664
6.2125,526.791153512576,370.436783716879
6.225,531.137671114192,368.712829460924
6.2375,534.623776102591,366.913403199118
6.25,537.375313120843,365.37275490467
6.2625,539.060514502762,364.259730676997
6.275,540.058209727492,362.456690011058
6.2875,541.079281457812,361.469248501614
6.3,540.334799482536,360.682053175775
6.3125,540.417927219293,359.882157676349
6.325,539.162451445835,359.273725997046
6.3375,538.240938902313,358.365432554704
6.35,537.566271318501,357.525290751338
6.3625,533.435888591877,356.959164818921
6.375,530.348431152217,356.319083827893
6.3875,527.350708852005,356.523386125776
6.4,524.289156626506,355.808508666234
6.4125,520.082065029402,355.66096365486
6.425,516.789784060359,354.703070094322
6.4375,512.094094180904,354.845997411721
6.45,507.919926969223,354.724832838039
6.4625,502.064605765891,354.737739872068
6.475,497.544258581634,354.844017094017
6.4875,493.166593981683,354.084747334261
6.5,487.620524017467,353.601948955916
6.5125,481.983241686305,353.905274888559
6.525,475.843053248229,353.610848400556
6.5375,469.480881966926,352.860368279819
6.55,463.050437828371,355.692293407614
6.5625,457.541336851363,366.070004636069
6.575,450.707886878623,374.824085981995
6.5875,444.61583011583,384.595403772203
6.6,439.741168179015,394.928727471327
6.6125,434.503389382868,403.868150840527
6.625,430.27081863091,411.013445988916
6.6375,426.602596943733,413.484043034084
6.65,423.11419725785,413.589326096789
6.6625,420.400920435437,412.97867148667
6.675,417.64316674038,411.919570319552
6.6875,415.461217236784,410.416200108362
6.7,412.702309058615,409.275749615001
6.7125,411.006481399272,407.301663352016
6.725,408.705083843492,405.330498507193
6.7375,407.241348713398,403.274206672091
6.75,405.522201542143,400.772213685257
6.7625,405.228660436137,398.479767737253
6.775,403.53016437139,396.107931908729
6.7875,403.108577536296,393.137637138453
6.8,401.73585241957,391.104847494553
6.8125,400.922631766382,388.397490680971
6.825,400.579711435696,385.61351031912
6.8375,399.296038543897,383.10579024035
6.85,398.918352794367,380.606218088986
6.8625,398.46252236136,377.789031845971
6.875,397.798568232662,375.837422189674
6.8875,396.261979120193,373.474599542334
6.9,396.71364693257,371.258330281948
6.9125,395.826207265911,369.085572778134
6.925,395.36741242535,367.33250506166
6.9375,395.142716711349,365.685355957211
6.95,395.032379585613,364.905279646181
6.9625,394.328941471722,362.717367256637
6.975,394.628044412607,362.252097740894
6.9875,393.867119735313,360.887884100766
7,393.587051775016,360.119867121897
7.0125,393.069261744966,359.543383646634
7.025,392.411859404347,358.663677544606
7.0375,392.278399427088,357.444002589476
7.05,392.518535140472,356.78860514428
7.0625,392.321047439691,357.258288571958
7.075,391.529332856376,356.014987510408
7.0875,391.096998928189,356.270260257479
7.1,391.819281426395,355.889436030846
7.1125,390.821514799249,354.911688551877
7.125,390.631061012704,354.948580412466
7.1375,390.721346704871,354.374165430267
7.15,390.891312120129,354.592871066555
7.1625,391.037358119582,354.358738989337
7.175,392.776512774541,353.835887433826
7.1875,404.196747676912,353.828462751647
7.2,422.847397406289,353.594544613962
7.2125,444.481724046376,353.441457309725
7.225,471.251991944663,352.924281742354
7.2375,496.239035470907,353.811306765524
7.25,513.68511417117,360.974525243168
7.2625,521.532545407144,371.324282032401
7.275,526.802172024327,380.436410350523
7.2875,531.450108178278,391.147488584475
7.3,534.433823529412,400.856921534676
7.3125,537.228442672675,409.399107630668
7.325,538.903178314714,413.293078456242
7.3375,539.602437759336,413.527330316742
7.35,540.604550566658,413.379900407424
7.3625,540.689553787617,412.460747157553
7.375,539.437931629834,410.649620527647
7.3875,539.336733811706,410.024551549194
7.4,538.429374621572,407.424105529454
7.4125,534.915897524368,406.017090152817
7.425,533.050069180214,404.130784526392
7.4375,530.624783211932,401.275058696045
7.45,526.765975895257,399.131240955137
7.4625,524.193959906274,396.549129804206
7.475,519.81659880447,394.277661984594
7.4875,515.607269888089,391.302741466957
7.5,510.721528861154,389.867212369259
7.5125,506.383004605092,386.751365125592
7.525,501.747017329966,383.608157319738
7.5375,497.573221757322,380.932527052833
7.55,491.936907144722,378.226117839905
7.5625,486.746796827334,376.222760069413
7.575,481.738538118942,373.762852707515
7.5875,475.362714235747,372.037621581942
7.6,469.225665266106,369.828647556046
7.6125,462.793620191044,367.817530319735
7.625,456.159652814308,365.755694342395
7.6375,450.705157542686,364.547844470999
7.65,444.55705229794,362.951661909585
7.6625,438.734596738651,362.415106520336
7.675,434.234322557852,361.466358167515
7.6875,429.392265680056,360.881166126793
7.7,426.122645680432,359.63527888262
7.7125,422.62289145986,358.672828096118
7.725,420.040769298945,358.613383931877
7.7375,417.085906993255,357.668145683121
7.75,414.86494405967,357.046438482886
7.7625,412.602485574789,356.373555247342
7.775,410.548977777778,355.908569843764
7.7875,408.363394519819,355.826461595479
7.8,406.885516506922,355.125381414702
7.8125,405.968195991091,355.162997224792
7.825,404.13290632506,354.743832313114
7.8375,403.450512249443,354.259860788863
7.85,402.380429934885,354.247244094488
7.8625,400.676713790344,354.070700518903
7.875,400.240220974784,353.432152437332
7.8875,399.196706720071,353.453248077101
7.9,398.610134713177,353.329311304993
7.9125,397.126876943581,353.207916203189
7.925,397.39102164425,353.135896248263
7.9375,397.263275522975,359.099508485579
